clade_name	C1	C2	C3	C4	C5	C6	C7	C8	P1	P2	P3	P4	P5	P6	P7	P8
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera_elsdenii	0.16441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82124	0.02047	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Formosa;s__Formosa_SGB1638	0.14753	0.0	1.14673	0.0	0.0	0.31404	0.0	0.0	0.0	0.0	0.78378	0.28507	1.45564	0.00618	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella_SGB42251	0.13685	0.0	0.0	0.54039	0.65552	0.0	0.04903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38978
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus_SGB66626	0.12651	0.05397	0.1486	0.13723	0.16261	0.44612	0.71592	0.86915	0.00312	0.65282	0.0	0.10325	0.0	0.00927	1.07404	0.27971
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_animalis	0.11834	0.01716	0.0	0.23391	0.36358	0.0	0.0	0.10804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10855
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_SGB6177	0.11386	0.0	0.0	0.463	0.48682	0.0125	0.0	2.84944	0.0	0.03472	0.0	0.0	0.0	0.0	0.07817	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_cecorum	0.10265	0.0	0.0	0.0	0.0	0.0	0.41068	0.22982	0.0	0.03499	0.0	0.0	0.0	0.0034	0.00373	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Cryobacterium;s__Cryobacterium_SGB4870	0.09837	0.19991	0.15751	0.00059	0.01222	1.25691	2.84087	0.33014	0.36586	0.48945	0.24571	0.2228	1.03519	0.18283	1.87662	0.02231
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_SGB14780	0.07915	0.0	0.17614	0.0	0.0	0.10545	0.13842	0.02064	0.01307	0.0	0.15427	0.00806	0.28204	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB1851;o__OFGB1851;f__FGB1851;g__GGB4916;s__GGB4916_SGB106225	0.06533	0.05606	0.00138	0.02255	0.05033	2.75471	0.0	0.27338	0.00128	0.61371	0.85875	1.05887	0.0	1.49526	0.0	0.06092
