clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium	0.0076	0.02451	2.01128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00566	0.0	0.0	2.759	0.0	2.16112	0.02484	0.13495	0.21822	0.09956	0.03932
k__Bacteria;p__Firmicutes;c__CFGB76331;o__OFGB76331;f__FGB76331;g__GGB48567	0.00682	0.8131	0.0	0.08436	0.77415	0.0	0.0	0.0	0.47611	0.0	2.56405	0.11629	0.17757	0.42167	0.04015	0.0	1.18769	0.0	1.74121	0.0	0.0	0.0	1.43469
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella	0.00066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3602	0.0	9.92383	0.0	1.06154	2.34635	1.26901	3.54692	0.14439	0.06705	0.75874	1.619	0.62666	0.0	2.17788	1.59637	0.0	0.0	0.0	12.57672	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__GGB9399	0.0	2.09993	0.0	1.27875	0.17937	0.64915	1.14545	0.07621	0.087	0.0	0.0	0.06403	0.44487	0.03897	0.45745	0.0	0.0	0.0	1.13654	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__GGB1354	0.0	1.80039	0.0	22.31924	2.16957	2.54548	1.14098	0.0	17.00733	0.1089	5.09343	0.05742	0.80918	0.0	9.81261	0.0	0.0	0.0	1.45784	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacterium	0.0	1.31994	7.1059	0.0	0.0	0.01333	0.0	0.06241	0.0	0.0	1.61638	1.00985	0.0	0.0	0.0	0.0	0.96946	0.0	0.93111	1.27984	0.40049	0.06893	3.10895
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9739	0.0	0.76068	0.0	5.97801	0.724	3.12109	0.94801	0.03152	2.11516	1.76064	1.53696	0.0	0.14987	1.00398	10.80633	0.0	1.21811	0.0	2.88443	0.0	0.28654	0.0	1.12582
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.0	0.63485	0.0	0.20547	0.13568	0.13179	0.24562	0.43337	0.08787	0.0	0.14929	0.53294	0.04423	0.0	0.18225	0.0	1.95015	0.0	1.26361	0.0	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.0	0.47512	0.0	0.17587	0.69526	0.0	0.0	0.0	0.04219	0.0	0.0	0.0	0.0	0.00133	0.06557	0.0	0.40142	0.0	0.0195	0.00758	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB8822;o__OFGB8822;f__FGB8822;g__GGB42994	0.0	0.43101	0.60874	0.40916	0.35441	0.18717	0.61247	0.0	0.55431	0.00633	0.28336	0.03449	0.00258	0.06675	0.38618	3.72571	0.38551	2.65563	0.41287	0.0	0.26407	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB2107;o__OFGB2107;f__FGB2107;g__GGB6020	0.0	0.29113	0.0	0.03685	0.07036	0.11665	0.05444	0.0	0.05407	0.08092	0.0	0.0	0.0	0.0	0.69201	0.0	0.08592	0.0	0.08078	0.0	0.0	0.0	0.0
