clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Bacteroidetes;c__CFGB628;o__OFGB628;f__FGB628	0.0	0.0	0.0	0.76156	0.00325	0.44924	0.08606	0.0	0.03767	0.0	0.0	0.0	0.0	0.0	0.05914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76329;o__OFGB76329;f__FGB76329	0.0	0.0	0.0	0.75951	0.55197	0.06091	0.05727	0.0	0.31457	0.0	0.0	0.0	0.0	0.0	0.22706	0.0	0.0	0.0	0.09825	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76248;o__OFGB76248;f__FGB76248	0.0	0.0	0.0	0.70005	0.04803	0.0	0.0	0.0	0.01627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07324	0.0	0.00336	0.0	0.09201	0.0	0.32095
k__Bacteria;p__Proteobacteria;c__CFGB76483;o__OFGB76483;f__FGB76483	0.0	0.0	0.0	0.49451	0.02264	0.27278	0.00619	0.0	0.27965	0.0	0.28252	0.0	0.0	0.0	0.15636	0.0	0.0	0.0	0.0	0.0	0.19931	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75721;o__OFGB75721;f__FGB75721	0.0	0.0	0.0	0.46322	1.1431	0.05993	0.43895	0.30942	0.47394	0.0	0.249	0.02632	0.01137	0.0	0.12417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0.0	0.0	0.0	0.34441	0.0	0.20198	0.0	0.0	0.09388	0.0	0.0	0.0	0.0	0.0	0.21886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__CFGB48937;o__OFGB48937;f__FGB48937	0.0	0.0	0.0	0.30179	0.06468	0.0	0.0	0.0	0.0	0.0	0.02514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB43318;o__OFGB43318;f__FGB43318	0.0	0.0	0.0	0.27408	0.10383	0.16013	0.128	0.0	0.18249	0.0	1.15659	0.0	0.2363	0.02445	0.51426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76102;o__OFGB76102;f__FGB76102	0.0	0.0	0.0	0.27265	0.04006	0.33119	0.11903	0.0	0.18511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae	0.0	0.0	0.0	0.2331	0.0	0.0	0.0	0.0	0.12124	0.0	0.0	0.01672	0.09027	0.0	0.87915	0.0	0.13837	0.0	0.6632	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB72939;o__OFGB72939;f__FGB72939	0.0	0.0	0.0	0.20008	1.9644	0.11681	0.01605	0.0	0.02038	0.0	0.0	0.05463	0.2624	0.0	0.04902	0.0	0.0	0.0	0.00162	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	0.0	0.0	0.0	0.14316	0.0	0.0	0.0	0.0	0.74647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae	0.0	0.0	0.0	0.1252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB76082;o__OFGB76082;f__FGB76082	0.0	0.0	0.0	0.12319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB1362;o__OFGB1362;f__FGB1362	0.0	0.0	0.0	0.00178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03104	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.0	0.0	0.0	0.0	0.01904	0.0	0.07386	0.0	0.0	0.0	0.00674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB1473;o__OFGB1473;f__FGB1473	0.0	0.0	0.0	0.0	0.0114	0.02805	0.00127	0.0	0.0	0.04474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
